年/月/日,時:分:秒,M-7017Z AI0,M-7017Z AI1,M-7017Z AI2,M-7017Z AI3,M-7017Z AI4,M-7017Z AI5,M-7017Z AI6,M-7017Z AI7,M-7017Z AI8,M-7017Z AI9,m7033 Input Register 0(Temp 1),m7033 Input Register 1,m7033 Input Register 2,$C4M3ro30,power_meter Holding Register 42(Voltage),power_meter Holding Register 43(Ampere),pm-3133 Input Register 4352,pm-3133 Input Register 4353,pm-3133 Input Register 4354,pm-3133 Input Register 4355,pm-3133 Input Register 4356,pm-3133 Input Register 4357,pm-3133 Input Register 4358,pm-3133 Input Register 4359,pm-3133 Input Register 4360,pm-3133 Input Register 4361,pm-3133 Input Register 4362,pm-3133 Input Register 4363,pm-3133 Input Register 4364,pm-3133 Input Register 4365,pm-3133 Input Register 4366,pm-3133 Input Register 4367,pm-3133 Input Register 4368,pm-3133 Input Register 4369,pm-3133 Input Register 4370,pm-3133 Input Register 4371,pm-3133 Input Register 4372,pm-3133 Input Register 4373,pm-3133 Input Register 4374,pm-3133 Input Register 4375,pm-3133 Input Register 4376,pm-3133 Input Register 4377,pm-3133 Input Register 4378,,模式
2018/06/13,16:00:00,0.000,-0.010,-0.030,0.040,0.010,0.000,-0.050,-0.030,0.000,0.040,15086,-32768,-32768,$C4M3ro30,200.700,3,-1928,17115,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,9436,17246,0,0,0,0,0,0,0,,Period
2018/06/13,16:05:00,-0.010,-0.020,-0.040,0.040,0.010,0.000,-0.050,-0.040,0.010,0.040,14858,-32768,-32768,$C4M3ro30,200.700,2,-20983,17116,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-8556,17246,0,0,0,0,0,0,0,,Period
2018/06/13,16:10:00,0.000,-0.020,-0.030,0.030,0.010,0.000,-0.040,-0.030,0.010,0.040,14498,-32768,-32768,$C4M3ro30,200.600,2,32571,17116,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-20801,17246,0,0,0,0,0,0,0,,Period
2018/06/13,16:15:00,-0.010,-0.010,-0.020,0.030,0.010,0.000,-0.050,-0.040,0.010,0.060,13885,-32768,-32768,$C4M3ro30,200.600,2,17204,17116,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,29097,17246,0,0,0,0,0,0,0,,Period
2018/06/13,16:20:00,0.000,-0.010,-0.020,0.050,0.020,-0.010,-0.040,-0.030,0.010,0.040,13722,-32768,-32768,$C4M3ro30,200.700,2,-6279,17116,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,5789,17247,0,0,0,0,0,0,0,,Period
